[s],CH2[V]
-3.30002E-07,4.958279591E-02
-3.20002E-07,4.982831365E-02
-3.10002E-07,4.960616188E-02
-3.00002E-07,4.927957991E-02
-2.90002E-07,4.931308154E-02
-2.80002E-07,4.893064859E-02
-2.70002E-07,4.948210029E-02
-2.60002E-07,4.914445379E-02
-2.50002E-07,4.863197113E-02
-2.40002E-07,4.911249903E-02
-2.30002E-07,4.990667803E-02
-2.20002E-07,5.039388832E-02
-2.10002E-07,5.070041929E-02
-2.00002E-07,5.032879528E-02
-1.90002E-07,5.016723140E-02
-1.80002E-07,4.977266961E-02
-1.70002E-07,4.986349851E-02
-1.60002E-07,4.935327701E-02
-1.50002E-07,4.913214186E-02
-1.40002E-07,4.961417275E-02
-1.30002E-07,4.964895802E-02
-1.20002E-07,5.012314876E-02
-1.10002E-07,5.024431118E-02
-1.00002E-07,4.960707741E-02
-9.00018E-08,4.944989280E-02
-8.00018E-08,4.959600239E-02
-7.00018E-08,4.897440889E-02
-6.00018E-08,4.904998663E-02
-5.00018E-08,4.879126622E-02
-4.00018E-08,4.899382760E-02
-3.00018E-08,4.880995442E-02
-2.00018E-08,4.930591468E-02
-1.00018E-08,4.950136070E-02
-1.80389E-12,4.932875518E-02
9.99820E-09,4.966245538E-02
1.99982E-08,4.943778495E-02
2.99982E-08,4.983114225E-02
3.99982E-08,5.049736962E-02
4.99982E-08,4.981931955E-02
5.99982E-08,1.573000356E-01
6.99982E-08,3.490698440E-01
7.99982E-08,5.466165500E-01
8.99982E-08,6.317054041E-01
9.99982E-08,6.137571305E-01
1.09998E-07,6.150535459E-01
1.19998E-07,6.147794685E-01
1.29998E-07,4.171508924E-01
1.39998E-07,1.454607025E-01
1.49998E-07,4.257366319E-02
1.59998E-07,5.019884952E-02
1.69998E-07,5.506232078E-02
1.79998E-07,5.330492782E-02
1.89998E-07,5.254403491E-02
1.99998E-07,5.206511204E-02
2.09998E-07,5.147424211E-02
2.19998E-07,5.181336013E-02
2.29998E-07,5.210921185E-02
2.39998E-07,5.290388677E-02
2.49998E-07,5.315228556E-02
2.59998E-07,5.306767461E-02
2.69998E-07,5.281976792E-02
2.79998E-07,5.260517879E-02
2.89998E-07,5.210173123E-02
2.99998E-07,5.087680804E-02
3.09998E-07,5.052139554E-02
3.19998E-07,5.011466296E-02
3.29998E-07,4.966985970E-02
3.39998E-07,4.988294489E-02
3.49998E-07,4.928546313E-02
