[s],CH2[V]
-7.90002E-07,2.546849321E-03
-7.80002E-07,2.561497760E-03
-7.70002E-07,2.517552445E-03
-7.60002E-07,2.510716507E-03
-7.50002E-07,2.558568072E-03
-7.40002E-07,2.534154008E-03
-7.30002E-07,2.542943071E-03
-7.20002E-07,2.540989946E-03
-7.10002E-07,2.542943071E-03
-7.00002E-07,2.507786820E-03
-6.90002E-07,2.540013384E-03
-6.80002E-07,2.488255569E-03
-6.70002E-07,2.547825884E-03
-6.60002E-07,2.499974319E-03
-6.50002E-07,2.505833695E-03
-6.40002E-07,2.498997757E-03
-6.30002E-07,2.511693070E-03
-6.20002E-07,2.509739945E-03
-6.10002E-07,2.430638378E-03
-6.00002E-07,2.548802447E-03
-5.90002E-07,2.554661822E-03
-5.80002E-07,2.447239942E-03
-5.70002E-07,2.463841505E-03
-5.60002E-07,2.418919628E-03
-5.50002E-07,2.474583693E-03
-5.40002E-07,2.490208694E-03
-5.30002E-07,2.521458695E-03
-5.20002E-07,2.512669632E-03
-5.10002E-07,2.406224315E-03
-5.00002E-07,2.296849310E-03
-4.90002E-07,2.443333692E-03
-4.80002E-07,2.561497760E-03
-4.70002E-07,2.467747755E-03
-4.60002E-07,2.517552445E-03
-4.50002E-07,2.412083690E-03
-4.40002E-07,2.466771193E-03
-4.30002E-07,2.479466506E-03
-4.20002E-07,2.445286817E-03
-4.10002E-07,2.432591504E-03
-4.00002E-07,2.416966503E-03
-3.90002E-07,2.474583693E-03
-3.80002E-07,2.476536818E-03
-3.70002E-07,2.380833689E-03
-3.60002E-07,2.442357129E-03
-3.50002E-07,2.513646195E-03
-3.40002E-07,2.558568072E-03
-3.30002E-07,2.536107133E-03
-3.20002E-07,2.475560256E-03
-3.10002E-07,2.457005567E-03
-3.00002E-07,2.553685259E-03
-2.90002E-07,2.473607130E-03
-2.80002E-07,2.489232131E-03
-2.70002E-07,2.554661822E-03
-2.60002E-07,2.441380566E-03
-2.50002E-07,2.560521197E-03
-2.40002E-07,2.552708697E-03
-2.30002E-07,2.530247758E-03
-2.20002E-07,2.506810257E-03
-2.10002E-07,2.518529008E-03
-2.00002E-07,2.450169629E-03
-1.90002E-07,2.489232131E-03
-1.80002E-07,2.540989946E-03
-1.70002E-07,2.578099323E-03
-1.60002E-07,2.543919634E-03
-1.50002E-07,2.555638384E-03
-1.40002E-07,2.465794630E-03
-1.30002E-07,2.424779003E-03
-1.20002E-07,2.525364945E-03
-1.10002E-07,2.507786820E-03
-1.00002E-07,2.574193073E-03
-9.00020E-08,2.568333697E-03
-8.00020E-08,2.564427447E-03
-7.00020E-08,2.468724318E-03
-6.00020E-08,2.562474322E-03
-5.00020E-08,2.561497760E-03
-4.00020E-08,2.479466506E-03
-3.00020E-08,2.508763382E-03
-2.00020E-08,2.498021194E-03
-1.00020E-08,2.482396193E-03
-1.98863E-12,2.493138381E-03
9.99801E-09,2.552708697E-03
1.99980E-08,2.534154008E-03
2.99980E-08,2.411107128E-03
3.99980E-08,2.529271196E-03
4.99980E-08,2.555638384E-03
5.99980E-08,1.215185347E-01
6.99980E-08,3.194374894E-01
7.99980E-08,5.086503890E-01
8.99980E-08,5.838876972E-01
9.99980E-08,5.683535168E-01
1.09998E-07,5.717587904E-01
1.19998E-07,5.748398453E-01
1.29998E-07,5.755126968E-01
1.39998E-07,3.939443288E-01
1.49998E-07,1.301884569E-01
1.59998E-07,1.019724031E-02
1.69998E-07,5.252904138E-03
1.79998E-07,1.379782642E-02
1.89998E-07,9.078099632E-03
1.99998E-07,8.136693337E-03
2.09998E-07,7.639623001E-03
2.19998E-07,7.078099537E-03
2.29998E-07,6.585912013E-03
2.39998E-07,6.177708869E-03
2.49998E-07,6.040990112E-03
2.59998E-07,5.500951024E-03
2.69998E-07,5.151341633E-03
2.79998E-07,5.080052567E-03
2.89998E-07,4.853490056E-03
2.99998E-07,4.825169742E-03
3.09998E-07,5.032201002E-03
3.19998E-07,4.927708810E-03
3.29998E-07,4.609349419E-03
3.39998E-07,4.508763477E-03
3.49998E-07,4.434544724E-03
3.59998E-07,4.082982207E-03
3.69998E-07,4.113255646E-03
3.79998E-07,3.977513452E-03
3.89998E-07,3.747044691E-03
3.99998E-07,3.674779063E-03
4.09998E-07,3.750950941E-03
4.19998E-07,3.675755625E-03
4.29998E-07,3.784154068E-03
4.39998E-07,3.812474382E-03
4.49998E-07,3.832005633E-03
4.59998E-07,3.701146251E-03
4.69998E-07,3.637669686E-03
4.79998E-07,3.409154050E-03
4.89998E-07,3.415013425E-03
4.99998E-07,3.397435299E-03
5.09998E-07,3.317357171E-03
5.19998E-07,3.155247788E-03
5.29998E-07,3.062474346E-03
5.39998E-07,3.078099347E-03
5.49998E-07,3.038060282E-03
5.59998E-07,3.094700910E-03
5.69998E-07,3.168919664E-03
5.79998E-07,3.275364981E-03
5.89998E-07,3.144505600E-03
5.99998E-07,3.157200913E-03
6.09998E-07,3.097630598E-03
6.19998E-07,2.927708715E-03
6.29998E-07,2.987279030E-03
6.39998E-07,2.943333715E-03
6.49998E-07,2.916966527E-03
6.59998E-07,2.780247770E-03
6.69998E-07,2.901341526E-03
6.79998E-07,2.976536842E-03
6.89998E-07,2.976536842E-03
6.99998E-07,2.913060276E-03
7.09998E-07,2.991185280E-03
7.19998E-07,2.971654029E-03
7.29998E-07,2.905247776E-03
7.39998E-07,2.975560279E-03
7.49998E-07,2.923802464E-03
7.59998E-07,2.812474334E-03
7.69998E-07,2.847630586E-03
7.79998E-07,2.906224339E-03
7.89998E-07,2.835911835E-03
7.99998E-07,2.651341514E-03
8.09998E-07,2.768529020E-03
8.19998E-07,2.731419643E-03
8.29998E-07,2.793919646E-03
8.39998E-07,2.840794648E-03
8.49998E-07,2.792943083E-03
8.59998E-07,2.840794648E-03
8.69998E-07,2.772435270E-03
8.79998E-07,2.790989958E-03
8.89998E-07,2.807591521E-03
8.99998E-07,2.786107145E-03
9.09998E-07,2.615208700E-03
9.19998E-07,2.648411826E-03
9.29998E-07,2.670872765E-03
9.39998E-07,2.800755584E-03
9.49998E-07,2.860325899E-03
9.59998E-07,2.841771210E-03
9.69998E-07,2.849583711E-03
9.79998E-07,2.748997769E-03
9.89998E-07,2.865208712E-03
9.99998E-07,2.715794642E-03
1.01000E-06,2.782200895E-03
1.02000E-06,2.819310272E-03
1.03000E-06,2.879857150E-03
1.04000E-06,2.833958710E-03
1.05000E-06,2.829075897E-03
1.06000E-06,2.814427459E-03
1.07000E-06,2.859349336E-03
1.08000E-06,2.902318088E-03
1.09000E-06,2.938450903E-03
1.10000E-06,2.923802464E-03
1.11000E-06,2.862279024E-03
1.12000E-06,2.808568084E-03
1.13000E-06,2.777318082E-03
1.14000E-06,2.956029028E-03
1.15000E-06,2.967747779E-03
1.16000E-06,2.876927462E-03
1.17000E-06,2.825169647E-03
1.18000E-06,2.810521209E-03
1.19000E-06,2.848607148E-03
1.20000E-06,2.850560273E-03
1.21000E-06,2.861302461E-03
1.22000E-06,2.899388401E-03
1.23000E-06,2.780247770E-03
1.24000E-06,2.732396205E-03
1.25000E-06,2.751927456E-03
1.26000E-06,2.759739957E-03
1.27000E-06,2.802708709E-03
1.28000E-06,2.869114962E-03
1.29000E-06,2.872044649E-03
1.30000E-06,2.918919652E-03
1.31000E-06,2.860325899E-03
1.32000E-06,2.776341520E-03
1.33000E-06,2.860325899E-03
1.34000E-06,2.767552457E-03
1.35000E-06,2.858372774E-03
1.36000E-06,2.821263397E-03
1.37000E-06,2.819310272E-03
1.38000E-06,2.690404016E-03
1.39000E-06,2.739232143E-03
1.40000E-06,2.776341520E-03
1.41000E-06,2.694310266E-03
1.42000E-06,2.685521203E-03
1.43000E-06,2.793919646E-03
1.44000E-06,2.814427459E-03
1.45000E-06,2.754857144E-03
1.46000E-06,2.840794648E-03
1.47000E-06,2.808568084E-03
1.48000E-06,2.799779021E-03
1.49000E-06,2.719700892E-03
1.50000E-06,2.588841511E-03
1.51000E-06,2.699193079E-03
1.52000E-06,2.712864954E-03
1.53000E-06,2.761693082E-03
1.54000E-06,2.676732140E-03
1.55000E-06,2.816380584E-03
1.56000E-06,2.750950894E-03
1.57000E-06,2.848607148E-03
1.58000E-06,2.831029022E-03
1.59000E-06,2.821263397E-03
1.60000E-06,2.740208706E-03
1.61000E-06,2.673802453E-03
1.62000E-06,2.697239954E-03
1.63000E-06,2.595677449E-03
1.64000E-06,2.688450891E-03
1.65000E-06,2.737279018E-03
1.66000E-06,2.748997769E-03
